
---------- Begin Simulation Statistics ----------
simSeconds                                   0.016354                       # Number of seconds simulated (Second)
simTicks                                  16354413000                       # Number of ticks simulated (Tick)
finalTick                                 16354413000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    179.01                       # Real time elapsed on the host (Second)
hostTickRate                                 91362641                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     712508                       # Number of bytes of host memory used (Byte)
simInsts                                     50000003                       # Number of instructions simulated (Count)
simOps                                       83044348                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   279321                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     463920                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                         32708827                       # Number of cpu cycles simulated (Cycle)
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                       117026442                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                      765                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                      104063868                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                  96833                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined             33982803                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined          49640502                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                  69                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples            32518721                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               3.200122                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.240359                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                   7243134     22.27%     22.27% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                   1301785      4.00%     26.28% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                   3957444     12.17%     38.45% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                   3200921      9.84%     48.29% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                   6358495     19.55%     67.84% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   4874139     14.99%     82.83% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                   3873330     11.91%     94.74% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                   1476007      4.54%     99.28% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                    233466      0.72%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total              32518721                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                 1377668     98.52%     98.52% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     98.52% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     98.52% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     98.52% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     98.52% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     98.52% # attempts to use FU when none available (Count)
