
---------- Begin Simulation Statistics ----------
simSeconds                                   0.282314                       # Number of seconds simulated (Second)
simTicks                                 282313751500                       # Number of ticks simulated (Tick)
finalTick                                282313751500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    563.95                       # Real time elapsed on the host (Second)
hostTickRate                                500598147                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     673512                       # Number of bytes of host memory used (Byte)
simInsts                                     50000000                       # Number of instructions simulated (Count)
simOps                                       91667295                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                    88660                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     162544                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                        564627504                       # Number of cpu cycles simulated (Cycle)
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                        91889958                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                       25                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                       91828724                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                   1360                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined               222679                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined            274665                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                   7                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples           564523136                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               0.162666                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              0.691214                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                 521833421     92.44%     92.44% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                  20783044      3.68%     96.12% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                   9365650      1.66%     97.78% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                   3133278      0.56%     98.33% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                   4170450      0.74%     99.07% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   5206542      0.92%     99.99% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                     19686      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                      6600      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                      4465      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total             564523136                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                    8972     89.51%     89.51% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     89.51% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     89.51% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     89.51% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     89.51% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     89.51% # attempts to use FU when none available (Count)
