
---------- Begin Simulation Statistics ----------
simSeconds                                   0.282274                       # Number of seconds simulated (Second)
simTicks                                 282273909500                       # Number of ticks simulated (Tick)
finalTick                                282273909500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    565.00                       # Real time elapsed on the host (Second)
hostTickRate                                499602981                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     673524                       # Number of bytes of host memory used (Byte)
simInsts                                     50000000                       # Number of instructions simulated (Count)
simOps                                       91667295                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                    88496                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     162244                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                        564547820                       # Number of cpu cycles simulated (Cycle)
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                        91882041                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                       25                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                       91823228                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                   1347                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined               214762                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined            264339                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                   7                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples           564444345                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               0.162679                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              0.691226                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                 521755971     92.44%     92.44% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                  20782894      3.68%     96.12% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                   9365488      1.66%     97.78% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                   3133061      0.56%     98.33% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                   4170098      0.74%     99.07% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   5206352      0.92%     99.99% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                     19607      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                      6611      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                      4263      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total             564444345                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                    9120     89.91%     89.91% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     89.91% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     89.91% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     89.91% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     89.91% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     89.91% # attempts to use FU when none available (Count)
