
---------- Begin Simulation Statistics ----------
simSeconds                                   0.016334                       # Number of seconds simulated (Second)
simTicks                                  16334283500                       # Number of ticks simulated (Tick)
finalTick                                 16334283500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    180.14                       # Real time elapsed on the host (Second)
hostTickRate                                 90675655                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     713540                       # Number of bytes of host memory used (Byte)
simInsts                                     50000003                       # Number of instructions simulated (Count)
simOps                                       83044348                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   277562                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     460999                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                         32668568                       # Number of cpu cycles simulated (Cycle)
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                       116854480                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                      775                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                      103944930                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                  96544                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined             33810851                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined          49409173                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                  79                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples            32478021                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               3.200470                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.240778                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                   7240238     22.29%     22.29% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                   1295215      3.99%     26.28% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                   3949258     12.16%     38.44% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                   3191451      9.83%     48.27% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                   6350765     19.55%     67.82% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   4871920     15.00%     82.82% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                   3871489     11.92%     94.74% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                   1476228      4.55%     99.29% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                    231457      0.71%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total              32478021                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                 1379122     98.57%     98.57% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     98.57% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     98.57% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     98.57% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     98.57% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     98.57% # attempts to use FU when none available (Count)
